0.69,0.19,0.38;
1.00,0.89,0.52;
0.25,0.41,0.88;
0.00,0.79,0.34;
0.63,0.32,0.18;
0.50,0.54,0.53;
0.53,0.81,0.92;
0.63,0.40,0.83;
0.74,0.56,0.56;
0.16,0.14,0.13;
1.00,0.50,0.31;
1.00,0.00,0.00;
0.39,0.19,0.38;
0.50,0.89,0.52;
0.12,0.41,0.88;
0.31,0.32,0.18;
1.00,0.00,1.00;
0.25,0.54,0.53;
0.27,0.21,0.92;
0.17,0.57,0.17;
